Heating;Cooling
25.01945;0
22.6703;0
27.73345;0
32.84375;0
35.6388;0
50.7695;0
55.3664;0
38.2693;0
30.63965;0
27.72105;0
25.68845;0
26.413;0
26.689;0
26.81;0
26.6;0
28.0473;0
37.8771;0
44.6893;0
32.6852;0
25.83945;0
23.09615;0
26.58445;0
30.4592;0
22.42475;0
18.16045;0
17.7153;0
24.92745;0
29.22775;0
31.6678;0
47.8185;0
54.6634;0
41.9643;0
32.65065;0
29.03305;0
26.67845;0
27.286;0
27.374;0
27.57;0
27.58;0
29.5443;0
40.1551;0
47.3263;0
35.2302;0
31.27045;0
25.25515;0
26.35445;0
30.3722;0
23.88375;0
21.29345;0
19.2783;0
24.42745;0
28.58475;0
30.8328;0
46.1105;0
50.9394;0
33.9363;0
25.87765;0
22.76405;0
20.29045;0
21.026;0
21.476;0
21.507;0
21.612;0
23.5253;0
33.5141;0
40.0523;0
27.8082;0
21.35045;0
18.50415;0
21.59945;0
25.8832;0
18.33775;0
15.20645;0
12.5203;0
15.42345;0
20.73275;0
24.4448;0
39.9115;0
44.8094;0
31.7473;0
22.36865;0
19.26405;0
17.27345;0
18.509;0
19.999;0
20.888;0
21.606;0
23.7933;0
34.1091;0
41.1423;0
29.2842;0
22.80645;0
19.27315;0
22.28345;0
27.0722;0
20.53275;0
20.19445;0
21.0993;0
28.96245;0
34.02875;0
35.8448;0
49.5755;0
53.6774;0
40.0443;0
31.42465;0
27.84605;0
25.07745;0
28.276;0
29.882;0
29.524;0
29.641;0
30.0713;0
40.2271;0
49.0263;0
36.3992;0
29.26345;0
22.09915;0
16.60645;0
15.7932;0
14.03175;0
18.06245;0
14.3933;0
13.22045;0
20.74375;0
29.7198;0
45.5515;0
51.4424;0
39.3983;0
30.40165;0
26.83205;0
23.62345;0
24.129;0
24.386;0
25.84;0
27.33;0
29.6853;0
40.7901;0
49.2783;0
37.7262;0
34.98345;0
30.98915;0
31.32645;0
36.1402;0
33.35075;0
28.11645;0
26.3433;0
30.83945;0
37.13375;0
41.9438;0
56.9995;0
62.6584;0
47.2053;0
39.72565;0
36.54605;0
34.27845;0
35.345;0
35.55;0
35.234;0
35.128;0
36.9303;0
47.1071;0
54.1723;0
42.0742;0
38.58645;0
31.31415;0
25.22445;0
21.7052;0
17.10575;0
14.19545;0
14.3193;0
20.34545;0
33.20875;0
38.7308;0
55.6335;0
62.2354;0
45.7303;0
37.70965;0
34.98605;0
32.78645;0
34.827;0
35.943;0
36.222;0
35.892;0
37.4153;0
47.3171;0
55.3803;0
44.8442;0
37.13045;0
32.52715;0
36.11045;0
38.7702;0
29.48375;0
26.87245;0
21.2483;0
24.87045;0
31.45675;0
39.2638;0
56.7095;0
62.5714;0
48.7983;0
39.77365;0
36.86905;0
34.18245;0
35.239;0
36.076;0
37.35;0
38.367;0
40.3133;0
51.6661;0
58.9023;0
45.9072;0
41.70045;0
35.67015;0
37.80245;0
37.3132;0
22.58675;0
17.40745;0
15.4493;0
21.27345;0
32.84875;0
39.3638;0
