Time,borFie.TBorAve
4.164084e+08,284.39307
4.16412e+08,284.4313
4.164156e+08,284.46838
4.164192e+08,284.49313
4.164228e+08,284.49203
4.164264e+08,284.4705
4.1643e+08,284.45633
4.164336e+08,284.45303
4.164372e+08,284.45166
4.164408e+08,284.45065
4.164444e+08,284.44815
4.16448e+08,284.44266
4.164516e+08,284.43616
4.164552e+08,284.43027
4.164588e+08,284.4257
4.164624e+08,284.42166
4.16466e+08,284.41745
4.164696e+08,284.41296
4.164732e+08,284.34818
4.164768e+08,284.2579
4.164804e+08,284.28845
4.16484e+08,284.31488
4.164876e+08,284.3281
4.164912e+08,284.3447
4.164948e+08,284.3645
4.164984e+08,284.38034
4.16502e+08,284.40247
4.165056e+08,284.41708
4.165092e+08,284.41788
4.165128e+08,284.41098
4.165164e+08,284.40985
4.1652e+08,284.41797
4.165236e+08,284.42468
4.165272e+08,284.42987
4.165308e+08,284.43393
4.165344e+08,284.43707
4.16538e+08,284.43927
4.165416e+08,284.44028
4.165452e+08,284.44006
4.165488e+08,284.43945
4.165524e+08,284.4386
4.16556e+08,284.43753
4.165596e+08,284.3787
4.165632e+08,284.29346
4.165668e+08,284.32047
4.165704e+08,284.3445
4.16574e+08,284.3608
4.165776e+08,284.38373
4.165812e+08,284.4061
4.165848e+08,284.42004
4.165884e+08,284.4381
4.16592e+08,284.4486
4.165956e+08,284.4459
4.165992e+08,284.43594
4.166028e+08,284.43222
4.166064e+08,284.43762
4.1661e+08,284.44232
4.166136e+08,284.4459
4.166172e+08,284.44873
4.166208e+08,284.45102
4.166244e+08,284.45282
4.16628e+08,284.45407
4.166316e+08,284.45483
4.166352e+08,284.45477
4.166388e+08,284.45377
4.166424e+08,284.45218
4.16646e+08,284.39496
4.166496e+08,284.3123
4.166532e+08,284.33752
4.166568e+08,284.3591
4.166604e+08,284.37305
4.16664e+08,284.3938
4.166676e+08,284.41412
4.166712e+08,284.4267
4.166748e+08,284.444
4.166784e+08,284.4547
4.16682e+08,284.45316
4.166856e+08,284.44366
4.166892e+08,284.43973
4.166928e+08,284.4448
4.166964e+08,284.44916
4.167e+08,284.45242
4.167036e+08,284.45483
4.167072e+08,284.45627
4.167108e+08,284.45593
4.167144e+08,284.45392
4.16718e+08,284.45157
4.167216e+08,284.44904
4.167252e+08,284.44586
4.167288e+08,284.4422
4.167324e+08,284.4391
4.16736e+08,284.43808
4.167396e+08,284.44016
4.167432e+08,284.44513
4.167468e+08,284.45074
4.167504e+08,284.4554
4.16754e+08,284.45908
4.167576e+08,284.46198
4.167612e+08,284.46436
4.167648e+08,284.4662
4.167684e+08,284.46695
4.16772e+08,284.4655
4.167756e+08,284.46182
4.167792e+08,284.4571
4.167828e+08,284.45206
4.167864e+08,284.447
4.1679e+08,284.44183
4.167936e+08,284.43683
4.167972e+08,284.43228
4.168008e+08,284.42755
4.168044e+08,284.42227
4.16808e+08,284.41663
4.168116e+08,284.40985
4.168152e+08,284.4019
4.168188e+08,284.395
4.168224e+08,284.39236
4.16826e+08,284.39487
4.168296e+08,284.40036
4.168332e+08,284.40878
4.168368e+08,284.4195
4.168404e+08,284.4301
4.16844e+08,284.4382
4.168476e+08,284.4444
4.168512e+08,284.44925
4.168548e+08,284.45187
4.168584e+08,284.44897
4.16862e+08,284.43973
4.168656e+08,284.42746
4.168692e+08,284.41443
4.168728e+08,284.402
4.168764e+08,284.38867
4.1688e+08,284.3737
4.168836e+08,284.36023
4.168872e+08,284.3492
4.168908e+08,284.33917
4.168944e+08,284.3299
4.16898e+08,284.32205
4.169016e+08,284.31567
4.169052e+08,284.24554
4.169088e+08,284.14996
4.169124e+08,284.1938
4.16916e+08,284.23907
4.169196e+08,284.2662
4.169232e+08,284.3003
4.169268e+08,284.33582
4.169304e+08,284.36096
4.16934e+08,284.38373
4.169376e+08,284.3891
4.169412e+08,284.38446
4.169448e+08,284.37466
4.169484e+08,284.37225
4.16952e+08,284.38684
4.169556e+08,284.39838
4.169592e+08,284.4055
4.169628e+08,284.40518
4.169664e+08,284.3976
4.1697e+08,284.3879
4.169736e+08,284.3795
4.169772e+08,284.37308
4.169808e+08,284.3671
4.169844e+08,284.35986
4.16988e+08,284.35196
4.169916e+08,284.2809
4.169952e+08,284.18433
4.169988e+08,284.21973
4.170024e+08,284.25388
4.17006e+08,284.2708
4.170096e+08,284.2838
4.170132e+08,284.29572
4.170168e+08,284.3072
4.170204e+08,284.32324
4.17024e+08,284.33853
4.170276e+08,284.34625
4.170312e+08,284.347
4.170348e+08,284.3511
4.170384e+08,284.36774
4.17042e+08,284.3809
4.170456e+08,284.3908
4.170492e+08,284.39783
4.170528e+08,284.40106
4.170564e+08,284.4004
4.1706e+08,284.3974
4.170636e+08,284.39322
4.170672e+08,284.3891
4.170708e+08,284.38568
4.170744e+08,284.3825
4.17078e+08,284.31787
4.170816e+08,284.226
4.170852e+08,284.2576
4.170888e+08,284.28497
4.170924e+08,284.29697
4.17096e+08,284.3149
4.170996e+08,284.3356
4.171032e+08,284.34363
4.171068e+08,284.35107
4.171104e+08,284.3517
4.17114e+08,284.3473
4.171176e+08,284.34235
4.171212e+08,284.34503
4.171248e+08,284.36386
4.171284e+08,284.37762
4.17132e+08,284.38388
4.171356e+08,284.38168
4.171392e+08,284.37476
4.171428e+08,284.36588
4.171464e+08,284.35608
4.1715e+08,284.34637
4.171536e+08,284.33698
4.171572e+08,284.32776
4.171608e+08,284.31934
4.171644e+08,284.25043
4.17168e+08,284.161
4.171716e+08,284.20444
4.171752e+08,284.24213
4.171788e+08,284.26843
4.171824e+08,284.30515
4.17186e+08,284.33868
4.171896e+08,284.36224
4.171932e+08,284.38712
4.171968e+08,284.3989
4.172004e+08,284.39395
4.17204e+08,284.38242
4.172076e+08,284.37918
4.172112e+08,284.38934
4.172148e+08,284.39664
4.172184e+08,284.39706
4.17222e+08,284.38968
4.172256e+08,284.3802
4.172292e+08,284.3711
4.172328e+08,284.36267
4.172364e+08,284.3566
4.1724e+08,284.35223
4.172436e+08,284.34866
4.172472e+08,284.34485
4.172508e+08,284.278
4.172544e+08,284.18732
4.17258e+08,284.2248
4.172616e+08,284.25806
4.172652e+08,284.2812
4.172688e+08,284.31348
4.172724e+08,284.34042
4.17276e+08,284.3565
4.172796e+08,284.3707
4.172832e+08,284.3751
4.172868e+08,284.37164
4.172904e+08,284.36472
