Totale koudelevering [kW];Totale warmtelevering [kW];Totale warmtelevering [kW] SWW
1,26252;152,57751;49,63
1,23617;152,54041;20,98
1,22181;108,67882;4,01
1,20373;151,83812;2,68
1,18443;137,11014;2,68
1,16568;142,14515;2,68
1,14827;142,88207;7,14
1,12921;161,55413;11,60
1,11449;218,37913;17,41
1,10117;211,81462;94,50
1,08557;220,08288;90,03
1,62443;159,59824;85,57
3,23428;135,03171;85,57
3,57903;138,42757;54,09
4,53198;103,74404;45,16
4,94461;90,88885;40,70
2,95923;98,65311;36,23
4,56459;79,03479;40,70
5,83394;35,49674;40,70
5,75138;28,33637;40,70
4,73275;75,57897;40,70
1,98995;144,10598;139,36
1,2954;186,83687;76,64
1,24948;160,5446;40,70
1,21848;158,57645;49,63
1,19318;174,16149;20,98
1,17155;178,33279;4,01
1,15352;174,08156;2,68
1,13549;164,48818;2,68
1,11651;172,66257;2,68
1,0978;177,59704;7,14
1,08006;181,4294;11,60
1,06305;216,85944;17,41
1,0427;252,51223;94,50
1,02663;224,8622;90,03
1,01484;201,02861;85,57
1,01911;195,53295;85,57
1,04444;167,21214;54,09
1,06112;142,64941;45,16
1,53783;136,88305;40,70
2,55571;99,39135;36,23
3,09888;67,75781;40,70
2,00733;35,08036;40,70
1,24622;61,85346;40,70
1,17625;84,47726;40,70
1,11873;142,6187;139,36
1,07561;170,63737;76,64
1,04538;197,37131;40,70
1,02228;188,65142;49,63
1,00417;182,7622;20,98
0,9855;211,78091;4,01
0,9671;232,86798;2,68
0,94983;206,48592;2,68
0,93625;194,68367;2,68
